Nome Completo;Cargo;País/Local Principal;Idade;País de Origem
Adalberto Martínez Flores;Arcebispo de Assunção;Paraguai;73;
Albert Malcolm Ranjith Patabendige;Don Arcebispo de Colombo;Sri Lanka;77;
Álvaro Leonel Ramazzini Imeri;Bispo de Huehuetenango;Guatemala;77;
Américo Manuel Alves Aguiar;Bispo de Setúbal;Portugal;51;
Anders Arborelius;Bispo de Estocolmo;Suécia;75;Suíça
Ángel Fernández Artime;Pró-Prefeito do Dicastério para os Institutos de Vida Consagrada e as Sociedades de Vida Apostólica;;64;Espanha
Ángel Sixto Rossi;Arcebispo de Córdoba;Argentina;66;
Angelo de Donatis;Penitenciário-mor da Penitenciária Apostólica;;71;Itália
Antoine Cardinal Kambanda;Arcebispo de Kigali;Ruanda;66;
António Augusto dos Santos Marto;Bispo Emérito de Leiria-Fátima;Portugal;77;
Arthur Roche;Prefeito do Dicastério para o Culto Divino e a Disciplina dos Sacramentos;;75;Inglaterra
Baldassare Reina;Vigário Geral de Roma;Itália;54;
Baselios Cleemis (Isaac) Thottunkal;Arcebispo Maior de Trivandrum (Siro-Malankara);Índia;65;
Berhaneyesus Demerew Souraphiel;Arcebispo de Addis Abeba;Etiópia;76;
Blase Joseph Cupich;Arcebispo de Chicago - Illinois;EUA;76;
Anthony Poola;Arcebispo de Hyderabad;Índia;63;
Arlindo Gomes Furtado;Bispo de Santiago de Cabo Verde;Cabo Verde;75;
Augusto Paulo Lojudice;Arcebispo de Siena-Colle di Val d'Elsa-Montalcino;Itália;60;
Cláudio Gugerotti;Prefeito do Dicastério para as Igrejas Orientais;;69;Itália
Cristóbal López Romero;Arcebispo de Rabat;Marrocos;72;Espanha
Domenico Battaglia;Arcebispo de Nápoles;Itália;62;
Francesco Montenegro;Arcebispo Emérito de Agrigento;Itália;78;
François-Xavier Bustillo;Conv. Bispo de Ajaccio;França;56;
Fridolin Ambongo Besungu;Cap. Arcebispo de Kinshasa;República Democrática do Congo;65;
Ignace Bessi Dogbo;Arcebispo de Abidjan;Costa do Marfim;63;
Inácio Suharyo Hardjoatmodjo;Arcebispo de Jacarta;Indonésia;74;
Jean-Paul Vesco;Arcebispo de Argel;Argélia;63;França
João Ribat;Arcebispo de Port Moresby;Papua Nova Guiné;68;
John Njue;Arcebispo Emérito de Nairóbi;Quênia;79;
Josip Bozanic;Arcebispo Emérito de Zagreb;Croácia;76;
Lazzaro You Heung-sik;Prefeito do Dicastério para o Clero;;73;
Mário Aurélio Poli;Arcebispo Emérito de Buenos Aires;Argentina;77;
Mykola Bychok , C.Ss.R.;Bispo dos Santos Pedro e Paulo de Melbourne;Austrália;45;Ucrânia
Peter Kodwo Appiah Turkson;Chanceler da Cúria Romana;Gana;76;
Pierbattista Pizzaballa;Patriarca de Jerusalém;;60;italiano
Sebastião Francisco;Bispo de Penang;Malásia;73;
Stanislaw Rylko;Arcipreste da Basílica de Santa Maria Maggiore;;79;
Stephen Chow Sau-yan;Bispo de Hong Kong [Xianggang];China;65;
Virgílio do Carmo da Silva;Arcebispo de Díli;Timor-Leste;57;
Carlos Aguiar Retes;Arcebispo da Cidade do México;México;75;
Carlos Osoro Sierra;Arcebispo Emérito de Madrid;Espanha;79;
Carlos Gustavo Castillo Mattasoglio;Arcebispo de Lima;Peru;75;
Charles Maung Bo;Arcebispo de Yangon;Mianmar;76;
Chibly Langlois;Bispo de Les Cayes;Haiti;66;
Christophe Louis Yves Georges Pierre;Núncio Apostólico nos Estados Unidos da América;EUA;79;
Daniel Fernando Sturla Berhouet;Arcebispo de Montevidéu;Uruguai;65;
Daniel Nicholas DiNardo;Arcebispo Emérito de Galveston-Houston - Texas;EUA;75;
Désiré Tsarahazana;Arcebispo de Toamasina;Madagascar;70;
Dieudonné Nzapalainga;Arcebispo de Bangui;República Centro-Africana;58;
Dominique François Joseph Mamberti;Prefeito da Assinatura Apostólica;;73;
Dominique Joseph Mathieu;Arcebispo de Teerã-Ispahan;Irã;61;
Emil Paul Tscherrig;Núncio Apostólico;;78;
